NOMBRE_ALUM,ID_ALUM,CONTRASEÑA,CRED_ACUMULADOS,CRED_DESAPROBADOS,CICLO_ALUM
MARIA FERNANDA GARCIA LOPEZ,E01,1234,,,1
JUAN CARLOS RODRIGUEZ HERNANDEZ,E02,1234,,,2
ANA SOFIA MARTINEZ PEREZ,E03,1234,,,3
LUIS ALBERTO GONZALEZ RAMIREZ,E04,1234,,,4
GABRIELA VALENTINA TORRES CRUZ,E05,1234,,,5
CARLOS EDUARDO VARGAS MORALES,E06,1234,,,6
ISABEL CRISTINA FERNANDEZ CASTILLO,E07,1234,,,7
JOSE ANTONIO DIAZ MUÑOZ,E08,1234,,,8
CAMILA ALEJANDRA MORALES SANCHEZ,E09,1234,,,9
MIGUEL ANGEL RAMIREZ ORTIZ,E10,1234,,,10
